recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,279.0,282.0,280.78602083333334,280.53602083333334,281.03602083333334,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,372.0,375.0,374.6958333333333,374.4458333333333,374.9458333333333,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,1041.0,1044.0,1042.3803541666666,1042.1303541666666,1042.6303541666666,0.01953125,0.9375,2.559764521436577,177.4402354785634,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,18:42:02,1.91770W,50.94274N,100%,9C,62%,1_20260410_184202.wav,AGC,48kHz,stereo,Part1,1_20260410_184202.wav,1683.0,1686.0,1685.1184166666667,1684.8684166666667,1685.3684166666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-10-2026,19:12:03,1.91770W,50.94274N,100%,9C,62%,1_20260410_191203.wav,AGC,48kHz,stereo,Part2,1_20260410_191203.wav,6.0,9.0,8.182,7.932,8.432,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-11-2026,07:09:03,1.91772W,50.94279N,100%,8C,95%,1_20260411_070903.wav,AGC,48kHz,stereo,Part2,1_20260411_070903.wav,831.0,834.0,832.1568541666667,831.9068541666667,832.4068541666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,07:09:03,1.91772W,50.94279N,100%,5C,88%,1_20260412_070903.wav,AGC,48kHz,stereo,Part2,1_20260412_070903.wav,1590.0,1593.0,1590.6961666666666,1590.4461666666666,1590.9461666666666,0.022135416666666668,1.0625,2.9013412575649227,177.09865874243508,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,132.0,135.0,134.4515,134.2015,134.7015,-0.018229166666666668,-0.8750000000000001,357.6109889533793,182.38901104662065,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,468.0,471.0,468.54129166666667,468.29129166666667,468.79129166666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,666.0,669.0,667.7892916666667,667.5392916666667,668.0392916666667,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1086.0,1089.0,1088.0075,1087.7575,1088.2575,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1260.0,1263.0,1262.5564166666666,1262.3064166666666,1262.8064166666666,-0.01953125,-0.9375,357.4402354785634,182.5597645214366,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1407.0,1410.0,1409.4578958333334,1409.2078958333334,1409.7078958333334,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1452.0,1455.0,1454.0008541666666,1453.7508541666666,1454.2508541666666,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1569.0,1572.0,1571.90675,1571.65675,1572.0,0.01953125,0.9375,2.559764521436577,177.4402354785634,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1722.0,1725.0,1724.2762083333334,1724.0262083333334,1724.5262083333334,0.0,0.0,0.0,180.0,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1749.0,1752.0,1749.9705625,1749.7205625,1750.2205625,0.01953125,0.9375,2.559764521436577,177.4402354785634,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,18:42:02,1.91772W,50.94279N,100%,15C,47%,1_20260412_184202.wav,AGC,48kHz,stereo,Part1,1_20260412_184202.wav,1797.0,1800.0,1799.9456458333334,1799.6956458333334,1800.0,0.0013020833333333333,0.0625,0.1705944566832045,179.8294055433168,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,19:12:03,1.91772W,50.94279N,100%,15C,47%,1_20260412_191203.wav,AGC,48kHz,stereo,Part2,1_20260412_191203.wav,0.0,3.0,0.18733333333333332,0.0,0.43733333333333335,-0.0013020833333333333,-0.0625,359.8294055433168,180.1705944566832,"left,right"
Recorder 1 - 1004 to 1704,04-12-2026,19:12:03,1.91772W,50.94279N,100%,15C,47%,1_20260412_191203.wav,AGC,48kHz,stereo,Part2,1_20260412_191203.wav,51.0,54.0,52.495270833333336,52.245270833333336,52.745270833333336,-0.022135416666666668,-1.0625,357.0986587424351,182.90134125756492,"left,right"
